en,uk
entity,entity
thing,річ
unit,одиниця
heterotroph,гетеротроф
parent,батьківський
life,життя
cell,клітина
person,особа
mortal,смертний
soul,душа
animal,тварина
beast,звір
plant,саджанець
native,рідна
food,їжа
nutrient,поживність
nutrient,поживність
artifact,артефакт
article,стаття
knowledge,знання
motivation,мотивація
motive,мотив
need,потреба
attribute,attribute
feeling,відчуття
location,location
form,форма
time,час
space,пробіл
infinite,нескінченно
event,подія
process,процес
group,група
measure,міра
thing,річ
achievement,досягнення
masterpiece,шедевр
action,action
course,course
contact,контакт
traffic,трафік
playing,програвання
play,відтворити
delivery,доставка
find,знайти
hit,влучення
implementation,реалізація
egress,egress
egression,егресія
exhumation,ексгумація
touch,дотик
performance,швидкодія
arrival,прибуття
arrival,прибуття
entry,entry
registration,реєстрація
return,return
return,return
penetration,проникнення
docking,швартування
landing,приземлення
landing,приземлення
leave,leave
medevac,medevac
medivac,medivac
decampment,декампмент
decampment,декампмент
emigration,еміграція
immigration,імміграція
standdown,standdown
exit,exit
flight,політ
eluding,елудування
break,break
breakout,breakout
getaway,getaway
hegira,hegira
hejira,hejira
dispatch,депеша
orgasm,оргазм
success,успіх
blockbuster,blockbuster
hit,влучення
strike,страйк
bang,bang
conquest,завоювання
pass,пропуск
failure,невдача
failure,невдача
flunk,flunk
cut,вирізати
default,типовий
fall,fall
upset,засмучений
disappointment,розчарування
motivation,мотивація
error,помилка
error,помилка
misplay,misplay
stain,пляма
confusion,плутанина
backfire,backfire
boomerang,бумеранг
rounding,округлення
distortion,спотворення
skip,пропустити
snafu,snafu
ballup,ballup
bull,бик
muff,muff
fluff,fluff
gaffe,gaffe
fall,fall
annexation,annexation
purchase,покупка
call,виклик
put,put
marketing,маркетинг
position,позиція
inheritance,спадок
adoption,усиновлення
naturalization,натуралізація
seizure,припадок
requisition,requisition
subsidization,субсидизація
capture,захоплення
seizure,припадок
collar,нашийник
pinch,пучка
conquest,завоювання
subjugation,subjugation
return,return
receipt,квитанція
appointment,зустріч
giving,дарування
auction,аукціон
reclamation,reclamation
delivery,доставка
saving,збереження
proselytism,прозелітизм
reparation,репарація
release,випуск
freeing,freeing
reclamation,reclamation
ransom,викуп
invocation,invocation
instrumentation,інструменталізація
performance,швидкодія
execution,виконання
mechanism,механізм
mechanics,механіка
service,служба
encore,encore
improvisation,імпровізація
juggling,жонглювання
magic,магія
illusion,ілюзія
deception,обман
interpretation,інтерпретація
playing,програвання
transposition,транспозиція
automation,автоматизація
shot,постріл
roll,roll
fling,fling
pass,пропуск
delivery,доставка
ball,кулька
curve,крива
fastball,fastball
heater,обігрівач
smoke,дим
hummer,hummer
slider,повзунок
strike,страйк
dunk,dunk
hook,гачок
jumper,стрибун
push,штовхання
depression,депресія
press,прес
pressure,тиск
bundling,бундлінг
drag,перетягування
draw,малювати
tow,tow
towage,towage
draft,чернетка
excision,excision
projection,проекція
burping,відригування
blink,блимання
winking,підморгування
vomit,блювота
puking,puking
jump,стрибати
header,заголовок
hop,хоп
spring,spring
sending,надсилання
forwarding,пересилання
shot,постріл
shoot,shoot
gun,gun
shellfire,shellfire
gunfight,перестрілка
gunplay,gunplay
potshot,potshot
contact,контакт
rub,rub
scuff,scuff
tap,кран
hit,влучення
walk,walk
pass,пропуск
best,найкращий
worst,найгірший
snick,snick
fly,муха
out,out
force,примусово
strikeout,перекреслений
sacrifice,жертва
header,заголовок
liner,liner
plunk,plunk
single,single
bingle,bingle
double,double
triple,потрійний
knock,стукати
belt,пояс
slap,ляпас
kayo,kayo
whip,батг
biff,biff
box,коробка
dig,копати
jab,джеб
counter,лічильник
hook,гачок
jab,джеб
roundhouse,roundhouse
kiss,поцілунок
kiss,поцілунок
smooch,smooch
meshing,meshing
fingering,fingering
review,рецензування
titillation,titillation
tag,tag
joining,приєднання
hit,влучення
intersection,перетин
linkage,linkage
shaving,гоління
detection,виявлення
breakthrough,прорив
identification,ідентифікація
diagnosis,діагноз
documentation,documentation
support,підтримка
probate,пробат
localization,локалізація
location,location
trigger,trigger
induction,induction
influence,вплив
exposure,експозиція
use,use
hypnotism,гіпноз
suggestion,пропозиція
temptation,спокуса
blandishment,blandishment
conquest,завоювання
choice,choice
selection,selection
option,option
casting,лиття
appointment,зустріч
nomination,nomination
call,виклик
capture,захоплення
exchange,обмін
exchange,обмін
gambit,gambit
demarche,demarche
parking,паркування
flit,flit
bank,банк
roll,roll
device,пристрій
twist,твіст
shtik,shtik
shtick,shtick
schtick,schtick
juke,juke
gambit,gambit
ruse,ruse
means,means
dint,dint
tool,інструмент
road,дорога
measure,міра
step,step
greenmail,greenmail
backstop,backstop
makeshift,makeshift
stopgap,stopgap
improvisation,імпровізація
tooth,зуб
voice,голос
wings,крила
adoption,усиновлення
election,вибори
election,вибори
primary,основний
runoff,runoff
reconciliation,узгодження
equation,рівняння
caesarian,caesarian
goal,мета
strike,страйк
spare,запасний
break,break
